time,open,high,low,close,Volume
1533157200,1.16599,1.16677,1.15819,1.15853,NaN
1533243600,1.15853,1.16106,1.15604,1.15679,NaN
1533499200,1.15705,1.15731,1.15302,1.15536,NaN
1533589200,1.15537,1.16083,1.15508,1.15987,NaN
1533675600,1.15987,1.16284,1.15734,1.16106,NaN
1533762000,1.16106,1.16195,1.15258,1.1527,NaN
1533848400,1.1527,1.15366,1.13883,1.14131,NaN
1534104000,1.13734,1.14331,1.13651,1.14102,NaN
1534194000,1.14107,1.14296,1.13301,1.13441,NaN
1534280400,1.13443,1.13551,1.13011,1.13452,NaN
1534366800,1.13452,1.14093,1.13359,1.13768,NaN
1534453200,1.13765,1.14449,1.13665,1.14386,NaN
1534708800,1.14392,1.14851,1.13944,1.14818,NaN
1534798800,1.14818,1.16013,1.14809,1.15707,NaN
1534885200,1.15707,1.16231,1.15533,1.15968,NaN
1534971600,1.15967,1.15996,1.153,1.15396,NaN
1535058000,1.15396,1.16398,1.1535,1.16223,NaN
1535313600,1.16266,1.16938,1.15946,1.16778,NaN
1535403600,1.16778,1.17335,1.16626,1.16948,NaN
1535490000,1.16948,1.171,1.1652,1.17074,NaN
1535576400,1.17074,1.17182,1.16417,1.16714,NaN
1535662800,1.16714,1.16901,1.15847,1.16013,NaN
1535918400,1.1605,1.1628,1.15882,1.16201,NaN
1536008400,1.16201,1.1621,1.15303,1.15819,NaN
1536094800,1.15819,1.16373,1.15428,1.16307,NaN
1536181200,1.16307,1.16593,1.16056,1.16237,NaN
1536267600,1.16237,1.16496,1.15507,1.15531,NaN
1536523200,1.15518,1.16163,1.15264,1.15934,NaN
1536613200,1.15934,1.16443,1.15656,1.16066,NaN
1536699600,1.16066,1.16498,1.15702,1.16264,NaN
1536786000,1.16264,1.17011,1.16092,1.16903,NaN
1536872400,1.16903,1.17216,1.16208,1.16254,NaN
1537128000,1.16183,1.16983,1.16181,1.16833,NaN
1537218000,1.16833,1.17246,1.16523,1.16667,NaN
1537304400,1.16665,1.1715,1.16502,1.16728,NaN
1537390800,1.16728,1.17847,1.16691,1.17768,NaN
1537477200,1.17768,1.18028,1.17329,1.17491,NaN
1537732800,1.17456,1.18152,1.17242,1.1748,NaN
1537822800,1.1748,1.17927,1.17311,1.17666,NaN
1537909200,1.17667,1.1798,1.17262,1.17394,NaN
1537995600,1.17391,1.17571,1.16392,1.16407,NaN
1538082000,1.16407,1.16514,1.157,1.16043,NaN
1538337600,1.16249,1.16278,1.15636,1.15784,NaN
1538427600,1.15784,1.15804,1.15053,1.15478,NaN
1538514000,1.15474,1.15939,1.14642,1.1478,NaN
1538600400,1.1478,1.15428,1.14634,1.15146,NaN
1538686800,1.15146,1.1548,1.14841,1.1523,NaN
1538942400,1.15235,1.15297,1.14601,1.14916,NaN
1539032400,1.14916,1.15034,1.14324,1.14913,NaN
1539118800,1.14915,1.15456,1.148,1.15206,NaN
1539205200,1.15206,1.15995,1.15205,1.15935,NaN
1539291600,1.15935,1.16106,1.15345,1.15596,NaN
1539547200,1.15476,1.16064,1.15387,1.15796,NaN
1539637200,1.15795,1.16215,1.15662,1.15748,NaN
1539723600,1.15747,1.15806,1.14962,1.15009,NaN
1539810000,1.15008,1.15274,1.14493,1.14531,NaN
1539896400,1.14531,1.15348,1.14331,1.15141,NaN
1540152000,1.15132,1.15504,1.14559,1.14649,NaN
1540242000,1.14646,1.14937,1.14394,1.14714,NaN
1540328400,1.14714,1.14768,1.1379,1.1392,NaN
1540414800,1.1392,1.14327,1.13563,1.13751,NaN
1540501200,1.13751,1.14212,1.13358,1.14023,NaN
1540760400,1.13931,1.14166,1.13608,1.13727,NaN
1540850400,1.13727,1.13879,1.13406,1.1344,NaN
1540936800,1.1344,1.13602,1.13022,1.13143,NaN
1541023200,1.13143,1.14243,1.13128,1.14034,NaN
